Unnamed: 0,levels,homeType,postingSeason,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,parking,hasGarage,pool,spa,Age,price
8275,0,SINGLE_FAMILY,summer,San Francisco,1947,1342.0,2.0,3.0,1,1,0,0,75,1295000.0
8276,0,SINGLE_FAMILY,summer,San Francisco,1941,1125.0,1.0,2.0,1,0,0,0,81,799000.0
8277,0,SINGLE_FAMILY,summer,San Francisco,1930,2602.0,3.0,4.0,1,0,0,0,92,2000000.0
8278,0,SINGLE_FAMILY,summer,San Francisco,1943,1374.0,2.0,2.0,1,1,0,0,79,1495000.0
8280,3+,SINGLE_FAMILY,summer,San Francisco,1926,2200.0,4.0,5.0,1,1,0,0,96,2250000.0
8281,0,CONDO,spring,San Francisco,2020,1011.0,2.0,2.0,0,0,0,0,2,1122000.0
8282,0,SINGLE_FAMILY,spring,San Francisco,1945,1631.0,3.0,5.0,0,0,0,0,77,1688000.0
8285,0,SINGLE_FAMILY,summer,Rancho Cordova,1958,1164.0,2.0,3.0,1,0,0,0,64,460000.0
8286,0,CONDO,summer,Los Angeles,2021,1353.0,3.0,2.0,0,1,0,0,1,875000.0
8287,0,CONDO,summer,Los Angeles,1948,936.0,1.0,1.0,0,0,0,0,74,799000.0
8289,0,CONDO,summer,Los Angeles,1907,1778.0,2.0,2.0,0,0,0,0,115,1249000.0
8291,3+,SINGLE_FAMILY,spring,Los Angeles,2021,2475.0,4.0,3.0,1,1,0,0,1,1420000.0
8293,3+,SINGLE_FAMILY,spring,Los Angeles,2021,2475.0,4.0,3.0,1,1,0,0,1,1299000.0
8294,1,CONDO,spring,Los Angeles,1988,815.0,2.0,2.0,1,1,0,0,34,509000.0
8295,2,SINGLE_FAMILY,spring,Los Angeles,2005,2880.0,3.0,4.0,1,1,0,0,17,2260000.0
8297,0,CONDO,spring,Los Angeles,1975,1732.0,1.0,2.0,1,1,0,0,47,645000.0
8299,0,SINGLE_FAMILY,spring,Badger,1963,2003.0,2.0,3.0,0,0,1,0,59,4500000.0
8300,0,SINGLE_FAMILY,winter,Badger,1983,1924.0,2.0,4.0,0,0,0,0,39,852000.0
8302,1,SINGLE_FAMILY,summer,La Mirada,1956,1302.0,2.0,3.0,1,1,0,0,66,799000.0
8304,2,SINGLE_FAMILY,summer,La Mirada,1997,1706.0,3.0,3.0,1,1,0,1,25,849000.0
8305,1,SINGLE_FAMILY,summer,Whittier,1965,1212.0,2.0,3.0,1,1,0,0,57,660000.0
8306,1,SINGLE_FAMILY,summer,Fullerton,1962,1245.0,2.0,4.0,1,1,0,0,60,699000.0
8307,2,SINGLE_FAMILY,summer,Whittier,1972,2017.0,3.0,4.0,1,1,0,0,50,850000.0
8308,1,SINGLE_FAMILY,summer,Whittier,1989,2016.0,3.0,3.0,1,1,0,0,33,780000.0
8309,1,SINGLE_FAMILY,summer,Whittier,1958,1323.0,2.0,3.0,1,1,0,0,64,699000.0
8310,1,SINGLE_FAMILY,summer,La Mirada,1956,1629.0,2.0,4.0,1,1,0,0,66,679500.0
8311,2,SINGLE_FAMILY,summer,La Mirada,1990,1774.0,3.0,4.0,1,1,0,1,32,919000.0
8312,1,SINGLE_FAMILY,summer,La Mirada,1970,2256.0,3.0,4.0,1,1,0,0,52,1197700.0
8313,2,TOWNHOUSE,summer,Fullerton,1973,1476.0,3.0,3.0,1,1,0,1,49,719000.0
